image,sigma_s,sigma_r,alpha_r,psnr,ssim,gastal_admm_it,farbman_admm_it,success,tol
kodim01.png,1.0,1.0,0.5,55.37633458187322,0.9996428322313671,10,10,1,0.001
kodim01.png,1.0,1.0,0.55,57.26444915043976,0.9997445052472939,10,10,1,0.001
kodim01.png,1.0,1.0,0.6,59.09558523864874,0.9998150485692796,10,10,1,0.001
kodim01.png,1.0,1.0,0.65,60.842193153534375,0.9998637309976756,10,10,1,0.001
kodim01.png,1.0,1.0,0.7,62.485476739356294,0.9998974478151632,10,10,1,0.001
kodim01.png,1.0,1.0,0.75,64.01362898112873,0.9999210342128444,10,10,1,0.001
kodim01.png,1.0,1.0,0.8,65.4207320749542,0.9999377740313887,10,10,1,0.001
kodim01.png,1.0,1.0,0.8500000000000001,66.70590003994108,0.9999498628197735,10,10,1,0.001
kodim01.png,1.0,1.0,0.9,67.87240240652702,0.9999587608794642,10,10,1,0.001
kodim01.png,1.0,1.0,0.95,68.92667707363194,0.9999654411886357,10,10,1,0.001
kodim01.png,1.0,1.0,1.0,69.87727813986886,0.999970556239524,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.5,44.58341446358883,0.9965077099884614,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.55,44.78801327378502,0.9966519431768358,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.6,45.02225446023304,0.9968217414244493,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.65,45.26055214687608,0.9970062680135491,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.7,45.47854491272241,0.9971920418178455,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.75,45.676167327871,0.9973697266028161,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.8,45.88985002180631,0.9975395658222278,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.8500000000000001,46.17547959815325,0.9977100562743613,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.9,46.574288234362484,0.9978894080023714,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,0.95,47.09436971691905,0.9980785352629892,10,10,1,0.001
kodim01.png,1.0,19.142857142857142,1.0,47.71872799013415,0.9982721487627525,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.5,44.22589726013677,0.9962358457101321,10,10,1,0.001
kodim01.png,1.0,37.285714285714285,0.55,44.30941454545072,0.9962921299776696,10,10,1,0.001
